EventDetailsID,EventID,EventDateTimeStart,EventLocation,EventDateTimeEnd,EventCapacity,EventRegistrationDeadline
1,1,2024-10-06 10:00:00,Ella Rises HQ,2024-10-06 12:00:00,100,2024-09-29 10:00:00
2,2,2022-04-02 10:00:00,Ella Rises HQ,2022-04-02 12:00:00,100,2022-03-26 10:00:00
3,1,2024-10-27 10:00:00,Virtual Zoom,2024-10-27 12:00:00,100,2024-10-20 10:00:00
4,1,2022-09-11 10:00:00,Art Studio 2,2022-09-11 12:00:00,100,2022-09-04 10:00:00
5,1,2023-08-27 10:00:00,Ella Rises HQ,2023-08-27 12:00:00,100,2023-08-20 10:00:00
6,3,2024-11-05 10:00:00,Community Center Room A,2024-11-05 12:00:00,100,2024-10-29 10:00:00
7,1,2022-01-02 10:00:00,Community Center Room A,2022-01-02 12:00:00,100,2021-12-26 10:00:00
8,1,2025-10-05 10:00:00,Local Library,2025-10-05 12:00:00,100,2025-09-28 10:00:00
9,2,2023-11-18 10:00:00,Community Center Room A,2023-11-18 12:00:00,100,2023-11-11 10:00:00
10,1,2024-06-23 10:00:00,Ella Rises HQ,2024-06-23 12:00:00,100,2024-06-16 10:00:00
11,3,2023-04-04 10:00:00,Community Center Room A,2023-04-04 12:00:00,100,2023-03-28 10:00:00
12,4,2024-06-15 10:00:00,Virtual Zoom,2024-06-15 12:00:00,100,2024-06-08 10:00:00
13,5,2025-09-18 10:00:00,Local Library,2025-09-18 12:00:00,100,2025-09-11 10:00:00
14,2,2024-02-03 10:00:00,Local Library,2024-02-03 12:00:00,100,2024-01-27 10:00:00
15,1,2024-06-16 10:00:00,Art Studio 2,2024-06-16 12:00:00,100,2024-06-09 10:00:00
16,5,2024-09-05 10:00:00,Community Center Room A,2024-09-05 12:00:00,100,2024-08-29 10:00:00
17,1,2025-08-24 10:00:00,Local Library,2025-08-24 12:00:00,100,2025-08-17 10:00:00
18,6,2021-11-10 10:00:00,Community Center Room A,2021-11-10 12:00:00,100,2021-11-03 10:00:00
19,6,2023-03-01 10:00:00,Community Center Room A,2023-03-01 12:00:00,100,2023-02-22 10:00:00
20,1,2023-07-02 10:00:00,Virtual Zoom,2023-07-02 12:00:00,100,2023-06-25 10:00:00
21,3,2023-09-05 10:00:00,Virtual Zoom,2023-09-05 12:00:00,100,2023-08-29 10:00:00
22,7,2023-05-15 10:00:00,Community Center Room A,2023-05-15 12:00:00,100,2023-05-08 10:00:00
23,3,2025-03-18 10:00:00,Local Library,2025-03-18 12:00:00,100,2025-03-11 10:00:00
24,5,2022-09-29 10:00:00,Local Library,2022-09-29 12:00:00,100,2022-09-22 10:00:00
25,5,2023-06-01 10:00:00,Local Library,2023-06-01 12:00:00,100,2023-05-25 10:00:00
26,8,2025-10-10 10:00:00,Community Center Room A,2025-10-10 12:00:00,100,2025-10-03 10:00:00
27,6,2022-11-23 10:00:00,Local Library,2022-11-23 12:00:00,100,2022-11-16 10:00:00
28,6,2023-04-26 10:00:00,Virtual Zoom,2023-04-26 12:00:00,100,2023-04-19 10:00:00
29,3,2023-09-12 10:00:00,Ella Rises HQ,2023-09-12 12:00:00,100,2023-09-05 10:00:00
30,2,2025-05-03 10:00:00,Local Library,2025-05-03 12:00:00,100,2025-04-26 10:00:00
31,3,2022-08-30 10:00:00,Local Library,2022-08-30 12:00:00,100,2022-08-23 10:00:00
32,9,2022-06-15 10:00:00,Community Center Room A,2022-06-15 12:00:00,100,2022-06-08 10:00:00
33,8,2022-05-27 10:00:00,Ella Rises HQ,2022-05-27 12:00:00,100,2022-05-20 10:00:00
34,8,2022-06-24 10:00:00,Ella Rises HQ,2022-06-24 12:00:00,100,2022-06-17 10:00:00
35,1,2025-06-08 10:00:00,Community Center Room A,2025-06-08 12:00:00,100,2025-06-01 10:00:00
36,1,2024-04-21 10:00:00,Local Library,2024-04-21 12:00:00,100,2024-04-14 10:00:00
37,3,2024-06-11 10:00:00,Virtual Zoom,2024-06-11 12:00:00,100,2024-06-04 10:00:00
38,1,2024-01-14 10:00:00,Ella Rises HQ,2024-01-14 12:00:00,100,2024-01-07 10:00:00
39,5,2024-08-01 10:00:00,Virtual Zoom,2024-08-01 12:00:00,100,2024-07-25 10:00:00
40,2,2023-03-11 10:00:00,Virtual Zoom,2023-03-11 12:00:00,100,2023-03-04 10:00:00
41,3,2022-10-11 10:00:00,Community Center Room A,2022-10-11 12:00:00,100,2022-10-04 10:00:00
42,1,2023-06-18 10:00:00,Art Studio 2,2023-06-18 12:00:00,100,2023-06-11 10:00:00
43,1,2021-12-05 10:00:00,Community Center Room A,2021-12-05 12:00:00,100,2021-11-28 10:00:00
44,3,2024-10-22 10:00:00,Art Studio 2,2024-10-22 12:00:00,100,2024-10-15 10:00:00
45,3,2023-10-10 10:00:00,Ella Rises HQ,2023-10-10 12:00:00,100,2023-10-03 10:00:00
46,1,2022-09-04 10:00:00,Virtual Zoom,2022-09-04 12:00:00,100,2022-08-28 10:00:00
47,1,2025-03-09 10:00:00,Art Studio 2,2025-03-09 12:00:00,100,2025-03-02 10:00:00
48,2,2023-04-15 10:00:00,Ella Rises HQ,2023-04-15 12:00:00,100,2023-04-08 10:00:00
49,1,2023-10-22 10:00:00,Community Center Room A,2023-10-22 12:00:00,100,2023-10-15 10:00:00
50,1,2023-05-07 10:00:00,Ella Rises HQ,2023-05-07 12:00:00,100,2023-04-30 10:00:00
