MilestoneID,ParticipantID,MilestoneTitle,MilestoneDate
1,1,Clinical Data Coordinator,2024-11-03
2,1,AA in Art & Design,2025-03-07
3,2,Middle School Diploma,2022-08-29
4,2,Published Project,2022-11-13
5,3,High School Diploma,2025-05-02
6,4,Mentorship Program,2023-06-26
7,4,Internship,2022-09-28
8,4,BS in Information Systems,2024-01-21
9,5,High School Diploma,2023-12-31
10,6,Junior QA Tester,2029-06-02
11,7,Middle School Diploma,2025-10-18
12,7,Product Designer,2032-02-02
13,8,Published Project,2024-05-06
14,9,BA in Studio Arts,2029-11-13
15,9,High School Diploma,2026-11-13
16,10,AA in Art & Design,2022-02-15
17,10,Systems Analyst,2022-07-19
18,10,IT Help Desk Trainee,2022-02-04
19,11,Published Project,2023-07-27
20,11,Product Designer,2033-05-01
21,12,High School Diploma,2023-09-21
22,12,Internship,2024-01-11
23,13,Digital Illustration Certificate,2023-08-10
24,14,High School Diploma,2022-10-09
25,15,Competition Award,2024-01-03
26,16,Customer Support Rep,2025-11-09
27,17,Competition Award,2023-03-19
28,18,Digital Illustration Certificate,2028-02-04
29,19,Competition Award,2022-10-31
30,20,BS in Information Systems,2022-10-19
31,21,MFA in Studio Arts,2024-09-10
32,22,Internship,2025-03-28
33,23,High School Diploma,2023-11-25
34,24,Data Analytics Certificate,2023-04-12
35,24,Customer Support Rep,2022-03-12
36,25,Customer Support Rep,2025-07-29
37,26,Internship,2023-09-02
38,27,Internship,2023-11-02
39,27,BS in Information Systems,2024-03-11
40,28,Internship,2023-06-16
41,29,Camp Counselor,2025-07-16
42,30,Published Project,2024-01-26
43,31,BA in Studio Arts,2033-06-02
44,31,Data Analytics Certificate,2031-06-02
45,32,High School Diploma,2023-04-09
46,33,AA in Art & Design,2028-07-31
47,34,AAS in Drafting & Design,2025-08-22
48,35,BS in Mechanical Engineering,2032-12-16
49,36,Middle School Diploma,2026-01-28
50,36,AAS in Drafting & Design,2025-04-01
51,37,Studio Assistant,2025-03-05
52,38,Web Development Certificate,2026-03-06
53,39,Middle School Diploma,2023-08-14
54,40,Competition Award,2026-02-09
55,41,Middle School Diploma,2024-09-30
56,42,MBA,2022-04-01
57,43,Internship,2023-12-02
58,44,AA in Art & Design,2024-11-20
59,44,Middle School Diploma,2024-11-10
60,45,Published Project,2026-02-02
61,46,Mentorship Program,2026-01-14
62,47,Camp Counselor,2025-08-09
63,47,AA in Art & Design,2026-08-28
64,47,Published Project,2025-03-03
65,48,High School Diploma,2025-05-03
66,49,Clinical Data Coordinator,2029-06-02
67,49,Published Project,2022-03-24
68,50,Clinical Data Coordinator,2031-07-15
69,50,Retail Assistant,2024-06-09
70,51,Mentorship Program,2024-05-04
71,51,Competition Award,2023-09-01
72,52,Camp Counselor,2023-09-04
73,52,MFA in Studio Arts,2036-01-02
74,53,IT Help Desk Trainee,2024-05-30
75,53,Middle School Diploma,2024-08-29
76,54,Systems Analyst,2028-04-30
77,55,BA in Studio Arts,2024-11-22
78,56,Lifeguard,2025-11-11
79,57,Middle School Diploma,2023-04-28
80,57,Competition Award,2023-08-26
81,58,Internship,2024-10-10
82,58,BA in Studio Arts,2022-11-23
83,59,Internship,2024-04-05
84,60,Competition Award,2022-12-25
85,61,Middle School Diploma,2025-10-10
86,62,AS in Information Systems,2026-04-02
87,63,Studio Assistant,2027-11-30
88,64,BS in Data Analytics,2033-05-07
89,64,Published Project,2025-12-16
90,65,Customer Support Rep,2023-04-25
91,66,Mentorship Program,2025-09-20
92,67,Middle School Diploma,2022-11-19
93,68,MBA,2027-07-18
94,68,Mentorship Program,2026-04-17
95,69,AS in Computer Science,2022-12-06
96,70,Middle School Diploma,2025-11-26
97,71,Competition Award,2023-05-19
98,71,Published Project,2023-11-20
99,72,AAS in Drafting & Design,2024-02-21
100,73,Web Development Certificate,2032-04-02
101,74,MS in Information Systems,2026-10-12
102,75,High School Diploma,2030-08-23
103,76,Competition Award,2026-01-19
104,76,Middle School Diploma,2025-12-08
105,76,MBA,2027-08-23
106,78,Product Designer,2032-03-15
107,79,Web Development Certificate,2030-10-24
108,79,Lab Assistant,2029-10-24
109,79,Middle School Diploma,2025-10-24
110,80,Mentorship Program,2025-10-31
111,81,Middle School Diploma,2023-10-31
112,82,Data Analyst,2033-07-11
113,83,Mentorship Program,2023-03-15
114,84,MS in Information Systems,2026-06-04
115,84,Published Project,2026-06-18
116,85,Published Project,2023-04-29
117,86,Studio Assistant,2023-02-11
118,87,Competition Award,2024-06-29
119,88,Published Project,2024-03-14
120,89,High School Diploma,2029-10-01
121,90,Digital Illustration Certificate,2030-01-11
122,90,Camp Counselor,2022-07-12
123,91,BS in Computer Science,2023-05-13
124,92,MFA in Studio Arts,2025-01-15
125,93,Internship,2025-08-15
126,93,Junior Art Assistant,2025-04-20
127,93,BS in Data Analytics,2026-08-09
128,94,Mentorship Program,2025-05-22
129,94,Web Development Certificate,2027-05-22
130,94,AAS in Drafting & Design,2027-05-22
131,95,BA in Studio Arts,2025-09-28
132,95,Internship,2022-04-17
133,96,Mentorship Program,2022-06-07
134,97,IT Support Certificate,2030-11-19
135,98,IT Support Certificate,2025-10-26
136,99,Internship,2023-02-20
137,100,High School Diploma,2030-02-15
138,101,Published Project,2023-07-28
139,102,IT Help Desk Trainee,2023-08-17
140,103,Data Analyst,2027-01-15
141,104,Camp Counselor,2023-09-18
142,104,IT Support Certificate,2029-09-02
143,105,Middle School Diploma,2024-04-25
144,106,BS in Data Analytics,2031-03-07
145,107,IT Help Desk Trainee,2025-02-27
146,108,Published Project,2025-01-09
147,108,Internship,2024-12-26
148,109,Product Designer,2023-11-30
149,110,Published Project,2025-11-07
150,110,Competition Award,2026-01-19
151,111,Digital Illustration Certificate,2026-03-31
152,111,MBA,2025-11-08
153,112,Web Development Certificate,2032-09-29
154,112,AS in Information Systems,2032-09-29
155,112,Middle School Diploma,2027-09-29
156,113,Clinical Data Coordinator,2031-07-02
157,114,BS in Information Systems,2031-02-10
158,115,Lab Assistant,2028-09-07
159,116,IT Support Certificate,2025-04-16
160,117,BS in Information Systems,2033-01-14
161,118,Published Project,2024-02-06
162,119,Systems Analyst,2022-10-16
163,120,Internship,2022-07-17
164,120,Junior QA Tester,2025-03-14
165,120,Published Project,2023-12-08
166,121,Clinical Data Coordinator,2022-01-23
167,122,High School Diploma,2025-05-15
168,123,BS in Data Analytics,2025-02-06
169,123,Mentorship Program,2025-08-31
170,124,Published Project,2022-04-28
171,124,Competition Award,2022-08-03
172,124,Mentorship Program,2022-03-11
173,125,High School Diploma,2026-07-06
174,126,Camp Counselor,2025-09-11
175,126,High School Diploma,2026-01-14
176,126,Web Development Certificate,2026-04-14
177,127,Competition Award,2025-06-15
178,127,Retail Assistant,2025-07-11
179,128,Published Project,2025-01-12
180,129,High School Diploma,2024-04-05
181,130,Data Analyst,2026-08-08
182,131,Internship,2025-02-21
183,132,Retail Assistant,2023-08-03
184,133,Data Analyst,2026-12-06
185,133,Junior Art Assistant,2023-04-16
186,134,Published Project,2023-12-28
187,135,Retail Assistant,2025-05-18
188,135,Published Project,2025-01-29
189,137,Web Development Certificate,2024-12-06
190,138,Lab Assistant,2030-02-12
191,138,Lifeguard,2023-05-23
192,139,Middle School Diploma,2027-12-07
193,139,Retail Assistant,2022-03-25
194,140,Lifeguard,2022-03-23
195,141,MS in Data Science,2026-04-01
196,142,Data Analyst,2024-09-15
197,143,BS in Computer Science,2027-10-14
198,143,Software Engineer I,2027-11-13
199,144,Middle School Diploma,2025-03-09
200,144,Junior Art Assistant,2024-11-25
201,144,Internship,2024-12-23
202,145,Internship,2025-01-17
203,146,AAS in Drafting & Design,2032-09-23
204,147,Middle School Diploma,2023-03-07
205,147,Digital Illustration Certificate,2027-06-09
206,147,Mentorship Program,2024-11-16
207,148,IT Help Desk Trainee,2022-12-27
208,148,Apprentice Technician,2022-07-13
209,149,Competition Award,2024-02-09
210,149,High School Diploma,2030-04-11
211,150,Competition Award,2025-01-21
212,150,Customer Support Rep,2029-02-28
213,151,Lifeguard,2025-10-02
214,152,Middle School Diploma,2025-10-29
215,153,High School Diploma,2026-03-21
216,154,Middle School Diploma,2025-05-08
217,154,MS in Information Systems,2029-11-09
218,155,Internship,2024-04-20
219,156,Published Project,2022-06-24
220,156,Internship,2022-07-01
221,156,High School Diploma,2022-12-04
222,157,Internship,2024-07-28
223,157,High School Diploma,2029-09-18
224,159,High School Diploma,2024-10-01
225,159,Mentorship Program,2024-08-21
226,160,Systems Analyst,2025-08-20
227,161,Mentorship Program,2024-06-01
228,161,Published Project,2024-04-14
229,162,Competition Award,2024-06-28
230,164,MBA,2031-04-12
231,165,BS in Data Analytics,2026-04-29
232,166,Web Development Certificate,2026-01-29
233,166,Customer Support Rep,2025-01-29
234,167,Middle School Diploma,2025-05-11
235,168,Middle School Diploma,2023-11-11
236,168,Mentorship Program,2023-08-14
237,168,BS in Mechanical Engineering,2023-11-18
238,169,Internship,2023-03-21
239,171,Middle School Diploma,2025-01-31
240,172,AA in Art & Design,2030-03-04
241,173,Competition Award,2023-12-31
242,174,Camp Counselor,2024-03-07
243,174,High School Diploma,2026-05-19
244,175,Middle School Diploma,2024-06-26
245,176,Internship,2025-03-16
246,176,AS in Information Systems,2029-01-19
247,177,Internship,2024-01-12
248,178,Published Project,2023-08-29
249,178,Internship,2023-12-11
250,179,High School Diploma,2025-04-02
251,180,Studio Assistant,2029-09-15
252,182,Middle School Diploma,2025-08-26
253,183,Internship,2023-12-08
254,183,Studio Assistant,2023-06-10
255,184,High School Diploma,2023-12-19
256,185,Internship,2022-11-01
257,186,Mentorship Program,2024-09-07
258,187,Product Designer,2026-04-12
259,188,Data Analyst,2034-10-16
260,189,BS in Data Analytics,2024-11-05
261,189,Software Engineer I,2025-02-19
262,190,MBA,2023-03-30
263,191,Published Project,2025-07-30
264,192,IT Support Certificate,2028-11-23
265,192,Retail Assistant,2023-03-21
266,193,High School Diploma,2025-12-16
267,194,Clinical Data Coordinator,2030-08-15
268,194,Internship,2023-12-13
269,195,Data Analytics Certificate,2029-04-11
270,196,AS in Information Systems,2023-12-25
271,196,IT Support Certificate,2023-12-06
272,197,Internship,2023-01-08
273,198,Systems Analyst,2023-09-17
274,199,High School Diploma,2031-02-10
275,200,Competition Award,2026-08-07
276,201,Mentorship Program,2026-02-07
277,201,Systems Analyst,2025-07-05
278,201,High School Diploma,2022-10-18
279,202,Middle School Diploma,2024-05-19
280,202,MS in Data Science,2024-04-05
281,204,Published Project,2022-08-11
282,204,Middle School Diploma,2022-04-17
283,205,Published Project,2026-01-25
284,206,Middle School Diploma,2025-04-14
285,206,MBA,2028-02-17
286,207,Junior QA Tester,2025-10-29
287,208,AS in Information Systems,2025-12-20
288,208,Published Project,2025-10-25
289,209,BS in Information Systems,2028-04-01
290,209,AS in Information Systems,2026-04-01
291,210,Digital Illustration Certificate,2029-04-26
292,211,Junior QA Tester,2024-07-25
293,211,Junior Art Assistant,2025-01-18
294,212,BS in Data Analytics,2032-09-14
295,212,Middle School Diploma,2025-09-14
296,213,Digital Illustration Certificate,2024-01-21
297,213,Internship,2023-10-15
298,214,Junior Art Assistant,2023-01-02
299,215,AS in Computer Science,2024-11-23
300,216,Mentorship Program,2022-11-01
301,216,Competition Award,2022-05-31
302,217,High School Diploma,2027-07-08
303,218,Retail Assistant,2025-07-20
304,219,AS in Computer Science,2023-09-06
305,219,Internship,2023-10-06
306,220,Middle School Diploma,2025-07-09
307,220,High School Diploma,2026-07-09
308,221,Published Project,2023-10-04
309,222,Competition Award,2023-11-13
310,223,MFA in Studio Arts,2034-08-04
311,224,Lifeguard,2025-05-31
312,225,IT Help Desk Trainee,2023-12-09
313,225,Published Project,2023-09-15
314,226,Middle School Diploma,2023-12-16
315,228,Web Development Certificate,2032-07-10
316,229,Competition Award,2025-01-16
317,230,MBA,2025-11-07
318,231,Retail Assistant,2025-09-12
319,232,High School Diploma,2030-05-22
320,233,Internship,2022-07-17
321,233,Competition Award,2024-01-10
322,234,Competition Award,2022-07-01
323,235,IT Support Certificate,2025-11-29
324,235,AS in Computer Science,2025-11-29
325,235,Camp Counselor,2024-11-02
326,236,Competition Award,2024-12-10
327,236,Mentorship Program,2024-09-20
328,237,Internship,2025-07-09
329,238,Lab Assistant,2030-09-16
330,239,Lab Assistant,2025-02-28
331,240,Web Development Certificate,2022-09-22
332,241,MS in Information Systems,2031-11-11
333,242,Software Engineer I,2028-07-07
334,243,Systems Analyst,2035-04-06
335,243,Web Development Certificate,2032-04-06
336,244,Middle School Diploma,2024-04-28
337,245,Web Development Certificate,2023-07-24
338,246,Competition Award,2023-08-20
339,247,Mentorship Program,2022-05-10
340,248,Middle School Diploma,2022-06-13
341,249,Published Project,2024-04-16
342,249,Competition Award,2022-06-11
343,250,Middle School Diploma,2025-01-28
344,251,BS in Information Systems,2025-10-24
345,252,MS in Information Systems,2035-02-09
346,252,Published Project,2024-05-20
347,253,Mentorship Program,2026-03-20
348,253,MFA in Studio Arts,2026-10-19
349,253,Middle School Diploma,2024-03-11
350,254,Internship,2024-07-22
351,254,Competition Award,2024-08-22
352,255,MS in Information Systems,2026-12-01
353,255,Published Project,2025-12-13
354,257,MS in Data Science,2022-10-05
355,258,Middle School Diploma,2024-09-16
356,259,High School Diploma,2025-12-15
357,260,AA in Art & Design,2027-10-02
358,261,Middle School Diploma,2022-04-05
359,261,Web Development Certificate,2022-08-15
360,261,Software Engineer I,2022-10-04
361,262,Published Project,2025-12-23
362,263,Camp Counselor,2022-07-04
363,264,Digital Illustration Certificate,2022-07-08
364,265,IT Help Desk Trainee,2024-08-15
365,265,Competition Award,2024-11-01
366,266,Camp Counselor,2025-09-09
367,267,MS in Information Systems,2023-06-02
