RegistrationID,ParticipantID,EventDetailsID,EventID,EventDateTimeStart,RegistrationStatus,RegistrationCheckInTime,RegistrationCreatedAt,RegistrationAttendanceFlag
1,1,1,1,2024-10-06 10:00:00,attended,2024-10-06 10:01:00,2024-09-09 10:00:00,1
2,2,2,2,2022-04-02 10:00:00,attended,2022-04-02 10:01:00,2022-03-30 10:00:00,1
3,3,3,1,2024-10-27 10:00:00,attended,2024-10-27 10:14:00,2024-10-22 10:00:00,1
4,4,4,1,2022-09-11 10:00:00,attended,2022-09-11 10:09:00,2022-09-05 10:00:00,1
5,5,5,1,2023-08-27 10:00:00,attended,2023-08-27 10:10:00,2023-08-25 10:00:00,1
6,5,6,3,2024-11-05 10:00:00,attended,2024-11-05 10:19:00,2024-10-24 10:00:00,1
7,5,7,1,2022-01-02 10:00:00,attended,2022-01-02 10:28:00,2021-12-12 10:00:00,1
8,6,8,1,2025-10-05 10:00:00,attended,2025-10-05 10:09:00,2025-09-27 10:00:00,1
9,6,9,2,2023-11-18 10:00:00,attended,2023-11-18 10:19:00,2023-11-13 10:00:00,1
10,6,10,1,2024-06-23 10:00:00,attended,2024-06-23 10:15:00,2024-06-10 10:00:00,1
11,6,11,3,2023-04-04 10:00:00,attended,2023-04-04 10:03:00,2023-03-13 10:00:00,1
12,6,12,4,2024-06-15 10:00:00,attended,2024-06-15 10:02:00,2024-05-24 10:00:00,1
13,7,13,5,2025-09-18 10:00:00,attended,2025-09-18 10:08:00,2025-09-15 10:00:00,1
14,8,14,2,2024-02-03 10:00:00,attended,2024-02-03 10:06:00,2024-01-16 10:00:00,1
15,8,15,1,2024-06-16 10:00:00,attended,2024-06-16 10:22:00,2024-05-31 10:00:00,1
16,9,16,5,2024-09-05 10:00:00,attended,2024-09-05 10:26:00,2024-08-12 10:00:00,1
17,9,17,1,2025-08-24 10:00:00,attended,2025-08-24 10:28:00,2025-08-12 10:00:00,1
18,10,18,6,2021-11-10 10:00:00,attended,2021-11-10 10:07:00,2021-10-13 10:00:00,1
19,11,19,6,2023-03-01 10:00:00,attended,2023-03-01 10:22:00,2023-02-14 10:00:00,1
20,12,20,1,2023-07-02 10:00:00,attended,2023-07-02 10:11:00,2023-06-22 10:00:00,1
21,12,21,3,2023-09-05 10:00:00,attended,2023-09-05 10:17:00,2023-08-11 10:00:00,1
22,13,22,7,2023-05-15 10:00:00,attended,2023-05-15 10:27:00,2023-05-05 10:00:00,1
23,13,23,3,2025-03-18 10:00:00,no-show,,2025-02-25 10:00:00,0
24,14,24,5,2022-09-29 10:00:00,attended,2022-09-29 10:28:00,2022-09-12 10:00:00,1
25,15,25,5,2023-06-01 10:00:00,attended,2023-06-01 10:10:00,2023-05-23 10:00:00,1
26,16,26,8,2025-10-10 10:00:00,no-show,,2025-09-17 10:00:00,0
27,17,27,6,2022-11-23 10:00:00,attended,2022-11-23 10:11:00,2022-11-21 10:00:00,1
28,18,28,6,2023-04-26 10:00:00,cancelled,,2023-03-28 10:00:00,0
29,18,29,3,2023-09-12 10:00:00,attended,2023-09-12 10:19:00,2023-08-20 10:00:00,1
30,18,30,2,2025-05-03 10:00:00,attended,2025-05-03 10:08:00,2025-04-17 10:00:00,1
31,19,31,3,2022-08-30 10:00:00,no-show,,2022-08-27 10:00:00,0
